id,cultura,tipo_solo,ph,umidade_pct,irrigacao_horas,n_mgkg,p_mgkg,k_mgkg,producao_ton_ha
1,laranja,misturado,4.98,29.4,4.1,1156.3984506188608,41.75393368560203,,32.65653174994386
2,cana,misturado,6.31,20.5,2.0,1026.6189869410755,49.053094368574676,210.53875194779422,84.33255027469936
3,laranja,massape,5.45,27.7,0.4,1001.7131754716638,25.12219043764501,122.18810214904741,27.8312718910098
4,laranja,,7.1,12.0,5.8,1226.1163940660126,53.160567851606686,196.89393323293052,27.564166864567465
5,cana,arenoso,7.48,31.0,4.5,691.9090068772143,73.6749360942155,125.8746164719671,104.7622010403014
6,cana,latossolo,6.76,27.2,9.5,863.1523921108994,52.11806019698298,,103.22653226595784
7,laranja,latossolo,4.77,32.5,0.6,549.1828874661292,46.39308602735268,96.05765627268329,34.753805466995935
8,soja,misturado,5.37,11.6,6.9,680.9787896128797,24.338138894619398,128.50929575173527,3.265983342296465
9,,latossolo,4.83,24.0,0.2,1114.8370784357942,33.38630829664462,156.23758073781264,22.421875437550312
10,laranja,argiloso,6.45,24.2,1.7,716.5301467615753,44.162326487658405,273.63486915452756,27.92010278558043
11,laranja,misturado,6.8,17.5,4.5,1047.1048508250194,37.05335293735756,97.09863146328794,29.57200210363591
12,laranja,argiloso,7.28,20.4,4.5,1231.6970083936162,60.393846394064774,229.4093093814797,32.06305151946639
13,cana,arenoso,5.81,9.0,6.9,864.4123650016122,53.005548014529566,130.96442689844585,88.73419289320292
14,laranja,misturado,7.2,28.1,9.1,1003.9726879599625,85.38567881470456,29.016900753279373,22.867528619052067
15,soja,arenoso,7.13,22.8,6.4,1048.662425908584,30.28712345363563,119.65643982417973,3.085833811863912
16,cana,misturado,5.45,9.6,9.5,655.700987386687,45.49671917087599,220.60181959006144,77.48636162501293
17,soja,massape,7.11,26.4,8.8,776.7095309397906,24.247614411985634,170.68017115975414,3.5156212201623283
18,soja,latossolo,5.63,20.6,5.8,699.2677576656396,11.663388381145133,174.2670719198374,3.5254389812959865
19,soja,massape,5.39,8.9,8.3,792.6553779833943,55.84081469179729,229.71024053066282,3.577852755232348
20,soja,arenoso,6.45,34.2,6.4,1043.22213961622,52.449230744510345,87.81982266385634,3.420414341868941
21,cana,latossolo,5.49,33.6,0.8,780.9606538115416,32.18114348031315,86.894974194465,60.28960588277627
22,cana,misturado,6.39,21.8,7.4,892.9693546136366,46.395444293901356,20.0,64.2896838607023
23,soja,latossolo,6.33,10.5,0.9,691.5076766137529,35.56098601611683,202.6249242745671,3.243924947464143
24,soja,argiloso,6.19,28.4,5.9,1145.2844329067404,37.58688817735086,183.7490540177762,3.339231168186557
25,cana,latossolo,5.64,21.3,7.0,790.9780019553326,40.195730808505886,,100.04398704583573
26,,,6.15,16.2,0.7,1204.596110381991,31.551522338935833,79.01932655659317,85.93354177594038
27,cana,latossolo,6.29,21.3,2.3,912.1858187698721,34.25025135270065,53.74506264480884,73.28860802968424
28,laranja,argiloso,6.14,22.1,9.2,618.6000844073842,34.67346834083619,70.82290149400005,31.310824038886842
